course_id	fullname	timecreated	numbercertificate
3	"Proceso Constituyente"	"2019-12-09 06:34:42"	602
5	"Derechos humanos"	"2020-01-03 01:54:37"	345
7	"Infancia y Adolescencia"	"2021-05-07 06:56:56"	733
8	"Género e Identidades Sexuales"	"2021-06-29 01:52:20"	562
9	"Interculturalidad. Aspectos críticos y su inserción en las políticas públicas"	"2021-07-28 03:10:23"	271
10	"Educación y Formación Ciudadana"	"2021-09-09 07:27:56"	150
11	"Prevención de la infección por sars-cov-2 para público general"	"2021-09-09 12:04:37"	58
12	"Medio Ambiente y Recursos Naturales"	"2021-10-27 06:18:38"	133
13	"MOOC Inclusión y Discapacidad"	"2021-12-06 07:46:03"	340
14	"Sistema de Salud Chileno"	"2022-01-19 12:25:02"	144
